item_id,date,item,site_id,stance,actor,actor_type,source_type,grounds,frame_summary,representative_quote,confidence,classified_by,source_url
39e18df0-b775-81c0-b87c-e28a9a5ffd93,2026-07-15,[2026-07-15] Unresolved site: Neutral or informational (Editorial or media),,Neutral or informational,,Editorial or media,National press,Energy load or grid; Climate or emissions,"Critics characterise data centres as ""energy vampires,"" prompting discussion of new regulatory rules governing AI and data centre energy consumption. The framing centres on the scale and unsustainability of power draw from AI infrastructure.","""Energy vampires"" — critics' characterisation of AI data centres in the context of new regulatory rules.",0.4,Agent,https://www.therural.com.au/story/9310843/new-rules-for-ai-as-critics-lash-energy-vampires/
39e18df0-b775-817b-ba10-fbed1c91ab4d,2026-07-15,[2026-07-15] Federal — Albanese flags crackdown on data-centre energy and water use (syndicated copy),39a18df0-b775-811c-a5c1-eeb5c9cb1fca,Conditional,Anthony Albanese,State or federal MP,National press,Energy load or grid; Water use; Climate or emissions,"Prime Minister Albanese signals federal regulatory intervention targeting data centre energy consumption and water usage, framing unchecked infrastructure growth as a national resource and sustainability risk requiring government oversight. [Corrected 2026-08-17: item was mistitled as Victoria's Sustainable Data Centre Action Plan — the source reports the PM's federal announcement, not the Victorian plan.]","""Anthony Albanese signals crackdown on data centres, energy usage and water consumption.""",0.55,Agent,https://www.brisbanetimes.com.au/politics/federal/albanese-flags-crackdown-on-power-hungry-data-centres-and-ai-copyright-theft-20260715-p60fhm.html
39e18df0-b775-81d9-a46b-fbcdf2a26bea,2026-07-15,[2026-07-15] Anthropic / Albanese Government MOU: Neutral or informational (Editorial or media),33918df0-b775-811f-96b8-fa9581e584fe,Neutral or informational,,Editorial or media,Editorial or opinion,Jobs / investment / economic; Energy load or grid; Data or digital sovereignty; Process / consultation / transparency,"An editorial reflecting on 'AI Appreciation Day 2026' observes that the industry has shifted attention to the unglamorous infrastructure dependencies — power, water, land, and regulatory process — that underpin AI at scale, situating Albanese government AI commitments (including the Anthropic MOU) within this 'boring bits' maturation narrative.","""The year the industry started appreciating the boring bits.""",0.45,Agent,https://itwire.com/business-it-news/data/ai-appreciation-day-2026-the-year-the-industry-started-appreciating-the-boring-bits-plus-albaneses-ai-speech
39e18df0-b775-816a-a3ea-cfef3f7c4025,2026-07-15,[2026-07-15] Unresolved site: Opposing (Miners Rest residents),,Opposing,Miners Rest residents,Resident or individual,Local or regional press,Process / consultation / transparency; Land use / amenity / visual,"Residents of Miners Rest are demanding to be properly consulted over proposed data centre plans affecting their locality, framing the issue as a failure of process and a threat to local amenity.","""Miners Rest residents demand consultation over data centre plans""",0.3,Agent,https://www.thecourier.com.au/story/9310877/miners-rest-residents-demand-consultation-over-data-centre-plans/
38d18df0-b775-8163-9eca-ff01b5902280,2026-06-10,[2026-06-10] Campbellfield Data Centre: Opposing (residents),38d18df0-b775-810e-80b4-f734638e70a5,Opposing,Campbellfield residents,Community group,NGO or advocacy,Environmental or ecological; Other,"Campbellfield residents petitioned against the proposed data centre on the former Ford site, citing environmental and local infrastructure risks.",,0.7,Agent,https://www.greenleft.org.au/2026/1455/news/communities-speak-out-against-vast-ai-data-centre-expansion#campbellfield
38d18df0-b775-81ea-9de8-ea5f83e7851a,2026-06-10,[2026-06-10] Plumpton Data Centre: Opposing (western suburbs residents),38d18df0-b775-8132-acf9-d1dcce34b734,Opposing,Western suburbs residents' petition,Community group,NGO or advocacy,Energy load or grid; Water use; Jobs / investment / economic,A western-suburbs petition opposed the Plumpton data centre over its electricity and water consumption and the lack of long-term local jobs; it is reported as the largest proposed in Australia and would run its own gas turbines.,,0.7,Agent,https://www.greenleft.org.au/2026/1455/news/communities-speak-out-against-vast-ai-data-centre-expansion#plumpton
38d18df0-b775-8109-8ae5-d909e258d554,2026-05-21,[2026-05-21] Arafura Nolans: Supporting (Minerals Council),33918df0-b775-8177-bbc8-ffab1c96a0c9,Supporting,Minerals Council of Australia CEO Tania Constable,Industry,Industry or government statement,Foreign ownership or sovereignty; Jobs / investment / economic,"Industry body welcomes Arafura's FID, framing Nolans as a nationally significant project that creates NT jobs while reinforcing Australia's role in allied critical-minerals partnerships and NdPr oxide supply outside China.","The Nolans Project is a nationally significant development, and one of a limited number globally capable of producing NdPr oxide outside China. - MCA CEO Tania Constable",0.9,Agent,https://minerals.org.au/resources/arafura-fid-creating-jobs-and-prosperity-for-the-nt-while-unlocking-australias-rare-earths-bounty-through-strategic-reserve/
39a18df0-b775-8166-9c12-e0a961e06d0e,2026-05-15,City of Swan planning officer recommends refusal — GreenSquareDC Hazelmere,39a18df0-b775-8196-b83c-d9d92193bfc6,Opposing,"City of Swan (Phillip Russell, statutory planning manager)",Local council,Council minutes or motion,Noise,"In a report to WA's outer-metropolitan Development Assessment Panel, the City of Swan's statutory planning manager conceded the AI-ready data centre was consistent with the 4.5ha site's industrial zoning, but recommended refusal solely because its 18 diesel back-up generators would be too noisy. The DAP was due to rule on 19 May 2026.",,0.9,Agent,https://www.theurbandeveloper.com/articles/greensquaredc-data-centre-hazelmere-perth-wa-public-comment
39a18df0-b775-81f7-b80e-c9f7fac26f11,2026-05-01,"Hazelmere residents & objectors — 1,836 objections to GreenSquareDC data centre",39a18df0-b775-8196-b83c-d9d92193bfc6,Opposing,Local residents and objectors (Hazelmere / City of Swan),Community group,Planning submission or objection,Noise; Environmental or ecological; Water use; Health; Land use / amenity / visual,"Public comment on the 120MW Hazelmere proposal drew 1,897 submissions, of which 1,836 were objections. Grounds cited: diesel back-up generator noise, heat output, electromagnetic energy and exhaust emissions, plus proximity (~40m) to the Helena River, a conservation wetland, two Aboriginal heritage sites and the Helena River Steiner School. The campaign preceded GreenSquare's withdrawal on 14 May 2026.",,0.9,Agent,https://ia.acs.org.au/article/2026/community-backlash-kills-wa-data-centre.html
38d18df0-b775-816f-80af-d7d6b3c14283,2026-04-30,[2026-04-30] AirTrunk Mamre Road (Kemps Creek): Opposing (Penrith City Council),38d18df0-b775-8128-b14a-dea99cd0e77e,Opposing,Penrith City Council,Local council,Planning submission or objection,Land use / amenity / visual; Other,"Penrith City Council formally objected to the proposal on the basis that the site is 'not suitable for a proposed development of this scale', raising fundamental concerns about the appropriateness of the location for such a large infrastructure project.","""not suitable for a proposed development of this scale"" — Penrith City Council",0.82,Agent,https://ia.acs.org.au/article/2026/concern-over-australia-s-most-power-hungry-data-centre.html
39a18df0-b775-815a-ae98-cfd4ef8c379c,2026-02-20,Concerned Waterways Alliance — voluntary guidance won't protect Victoria's water,39a18df0-b775-811c-a5c1-eeb5c9cb1fca,Opposing,Concerned Waterways Alliance,Environmental body,NGO or advocacy,Water use; Process / consultation / transparency; Environmental or ecological,"Critique of Victoria's Sustainable Data Centre Action Plan as 'expectations, not outcomes': framed almost entirely in terms of what developers 'should' do, with no binding requirements, no minimum performance standards, no reporting obligations with regulatory consequence, and no link to planning or water-allocation decisions.",,0.85,Agent,https://concernedwaterwaysalliance.org/from-expectations-to-outcomes-why-voluntary-guidance-on-data-centres-will-not-protect-victorias-water/
39a18df0-b775-81f6-b4a6-d8eaf999efc7,2026-02-17,David Ettershank MLC — data centre transparency & water questions (Vic Parliament),39a18df0-b775-8184-b6e6-dc0a5a429f14,Conditional,David Ettershank MLC (Legalise Cannabis Victoria),State or federal MP,Parliamentary inquiry submission,Process / consultation / transparency; Water use; Energy load or grid,"In the Victorian Parliament (17 Feb 2026), questioned whether the $5.5M Sustainable Data Centre Action Plan would include mandatory water-efficiency requirements; raised that the government is fast-tracking data-centre approvals with little sustainability or planning policy in place, and that councils are seeing developers seek ministerial approval to bypass local council.",,0.8,Agent,https://www.parliament.vic.gov.au/parliamentary-activity/hansard/hansard-details/HANSARD-974425065-34163
38d18df0-b775-815a-a5f7-cb74d37b4dea,2026-01-19,[2026-01-19] Keppel Hazelwood: Supporting (Latrobe City Mayor),32a18df0-b775-817d-a799-c399cd496045,Supporting,Latrobe City Mayor Cr Sharon Gibson,Local council,Industry or government statement,Jobs / investment / economic; Energy load or grid,"Council welcomes the $10bn Keppel proposal as regional revitalisation, casting the Latrobe Valley's transmission assets, industrial land and energy-sector workforce as uniquely placed to host large-scale, energy-reliant investment as coal closures approach.",Latrobe City has powered Victoria for generations and is now uniquely placed to support the next era of industry. - Mayor Cr Sharon Gibson,0.85,Agent,https://www.latrobe.vic.gov.au/news-and-media/10_billion_data_centre_proposed_for_Morwell_0
38d18df0-b775-81a0-88c4-ebd06d166b34,2025-12-05,[2025-12-05] NEXTDC S7 Eastern Creek: Supporting (NEXTDC),32a18df0-b775-81ff-a6f9-cb27a31447ae,Supporting,NEXTDC,Industry,Industry or government statement,Data or digital sovereignty; Jobs / investment / economic,"NEXTDC framed its Eastern Creek AI campus and OpenAI partnership as building the next generation of sovereign AI infrastructure in Australia, emphasising national digital sovereignty and capability.",Building the next generation of sovereign AI infrastructure in Australia. - NEXTDC,0.8,Agent,https://www.nextdc.com/news/building-the-next-generation-of-sovereign-ai-infrastructure-in-australia
38d18df0-b775-8156-8403-cbc4fc682e02,2025-11-28,[2025-11-28] CDC Marsden Park: Supporting (NSW Treasurer),32a18df0-b775-8144-a9dd-da7f8cbd28ed,Supporting,NSW Treasurer Daniel Mookhey,State or federal MP,Industry or government statement,Jobs / investment / economic; Data or digital sovereignty,"NSW Government touts its Investment Delivery Authority for fast-tracking approval of the $3.1bn CDC data centre in 12 months, framing it as supporting the digital economy and high-tech jobs (220 construction, 265 operational) in Sydney's west.",This project will support the booming digital economy while also creating hundreds of jobs through both construction and operation. - NSW Treasurer Daniel Mookhey,0.95,Agent,https://www.nsw.gov.au/ministerial-releases/southern-hemispheres-biggest-data-centre-gets-green-light
3bf18df0-b775-814c-b711-f770f1df4919,2025-11-27,[2025-11-27] Victoria announces $5.5M Sustainable Data Centre Action Plan — plan document never publicly released,39a18df0-b775-811c-a5c1-eeb5c9cb1fca,Supporting,"Department of Jobs, Skills, Industry and Regions (Victorian Government)",State or federal MP,Industry or government statement,Energy load or grid; Water use; Jobs / investment / economic; Process / consultation / transparency; Climate or emissions,"Victorian Government frames the plan as a whole-of-government coordination framework to unlock up to $25 billion in projects and position Victoria as the Asia-Pacific hub for sustainable data centres, addressing energy, water, workforce and governance through coordination and expectations rather than binding regulation. PUBLICATION STATUS (verified 2026-08-17): announced 27 Nov 2025 by the Premier; the DJSIR webpage (~Feb 2026, page updated Aug 2026) is the only public artifact — no plan document has ever been released. In the Legislative Council (4 Mar & 13 May 2026) David Ettershank noted the plan ""is referenced repeatedly on the government's website… yet it is not downloadable""; departmental contacts suggested it ""has not been produced yet or is for internal government use only"". A documents motion passed 13 May 2026 requiring tabling within 30 days; as of late June 2026 Ettershank was still calling for its public release.",'the Asia-Pacific hub for sustainable data centres',0.85,Agent,https://djsir.vic.gov.au/priorities-and-initiatives/ai-mission-statement/sustainable-data-centre-action-plan
38d18df0-b775-8188-8b2c-eaf1bb3bd444,2025-10-22,[2025-10-22] Alcoa-Sojitz Wagerup gallium: Supporting (AU/US govts & Alcoa),30118df0-b775-81d8-b03d-fff0853ed4a2,Supporting,Australian and US governments / Alcoa CEO William Oplinger,Other,National press,Foreign ownership or sovereignty; Jobs / investment / economic,"Coverage of joint US-Australia government backing plus Japanese (JAGA/Sojitz) investment for Alcoa's Wagerup gallium plant, framed as building an allied, non-Chinese supply of a mineral critical to semiconductors and defence.",,0.7,Agent,https://www.australianmanufacturing.com.au/governments-back-alcoas-gallium-manufacturing-project-in-western-australia/
39a18df0-b775-8126-b367-d30b716a15dd,2025-08-25,Hume City Council motion — first VIC council to build a data-centre assessment framework,39a18df0-b775-8177-acdc-d77751efb930,Conditional,"Hume City Council (Cr Naim Kurt — corrected 2026-08-16; agent had misread the name as ""Jim Kurt"", no such councillor)",Local council,Council minutes or motion,Water use; Energy load or grid; Process / consultation / transparency; Land use / amenity / visual,"On 25 Aug 2025 Hume endorsed a motion to draft a framework assessing data-centre applications against sustainable resource use and to call on the Victorian Government to strengthen planning controls — the first Victorian council to act. Concerns: enormous water/energy load, developers bypassing council via ministerial fast-track (some applications surfaced only via FOI), ~7 data centres incoming to Hume plus 20-30 across the west, and Yarra Valley Water fielding 7 cooling-water draw applications (one approved at up to 3.94 million m3/yr).","They are a wicked problem. They're huge in scale, consuming massive amounts of water and electricity whilst offering little back to the community in terms of jobs.",0.85,Agent,https://northern.starweekly.com.au/news/hume-data-centres-in-need-of-an-update/
38d18df0-b775-811d-8e5b-e996a3864966,2025-06-14,[2025-06-14] Amazon Sydney & Melbourne ($20B): Supporting (Govt & AWS),32a18df0-b775-812f-975c-e9c8a8106691,Supporting,Australian Government (PM Albanese) and AWS (Matt Garman),State or federal MP,Industry or government statement,Jobs / investment / economic; Data or digital sovereignty,"The Australian Government and AWS framed a A$20bn (2025-2029) data centre investment as the largest tech investment in the country's history, cast as jobs, economic growth and strengthened national digital capability.",Described as the largest publicly announced investment in Australia's technology infrastructure. - AWS / Austrade,0.8,Agent,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia
38d18df0-b775-8103-8860-eac23ee26b89,2024-12-06,[2024-12-06] Iluka Eneabba Refinery: Supporting (Albanese Government),33918df0-b775-81a7-827b-da13c70e508b,Supporting,Albanese Government (Ministers King and Farrell),State or federal MP,Industry or government statement,Foreign ownership or sovereignty; Jobs / investment / economic,"Government commits a further $475m (on top of the $1.65bn Critical Minerals Facility loan) to Australia's first integrated rare earths refinery, framed under Future Made in Australia as building sovereign industry capability, supply-chain resilience and ~900 construction / 250 operational jobs.",,0.85,Agent,https://www.minister.industry.gov.au/ministers/king/media-releases/additional-help-rare-earths-refining-future-made-australia
38d18df0-b775-818b-91f0-d2f52ce7b285,2024-11-08,[2024-11-08] Lynas Mt Weld: Supporting (Resources Minister),33918df0-b775-812c-b2b9-cf6cbbf857c4,Supporting,Resources Minister Madeleine King,State or federal MP,Industry or government statement,Foreign ownership or sovereignty; Jobs / investment / economic,"Federal minister opens the Kalgoorlie plant that processes Mt Weld ore, framing onshore rare earths processing as strengthening Australia's sovereign capability and bringing value-adding home, with ~115 Goldfields jobs.","This opening is a big deal for Kalgoorlie, a huge deal for Western Australia and a massive step for Australia. - Minister Madeleine King",0.85,Agent,https://www.minister.industry.gov.au/ministers/king/media-releases/australias-first-rare-earths-processing-plant-opens-kalgoorlie
38d18df0-b775-8158-8479-c1c7ea22129f,2024-10-15,[2024-10-15] ASM Dubbo: Supporting (Resources Minister),30118df0-b775-81ae-a6d3-e17f1381f1dd,Supporting,Resources Minister Madeleine King,State or federal MP,Industry or government statement,Foreign ownership or sovereignty; Jobs / investment / economic,"Federal government grants $5m to ASM's Dubbo project, positioning support for domestic rare earths refining as a sovereign-capability and allied supply-chain priority; pitched at ~1,000 construction and ~270 operational jobs.","Government support to refine rare earths is important for our sovereign capabilities and will help our trading partners meet their economic, national security and emission reduction commitments. - Minister Madeleine King",0.9,Agent,https://www.minister.industry.gov.au/ministers/king/media-releases/supporting-rare-earths-processing-future-made-australia
38d18df0-b775-8174-bc23-e99a3345f85c,2017-08-14,[2017-08-14] Microsoft Azure Canberra: Supporting (Microsoft),33918df0-b775-8112-aebd-da2092fd5dbc,Supporting,Microsoft Australia,Industry,Industry or government statement,Data or digital sovereignty,"Microsoft launches two Canberra Azure regions (with CDC) as the only major provider handling Unclassified and Protected government data in-country, pitching it as in-country data sovereignty for agencies with no compromise on residency.",,0.8,Agent,https://news.microsoft.com/en-au/2017/08/14/microsoft-first-offer-azure-cloud-regions-australian-government/
